件名,来源,材料,规格,数量,备注
nest_body,打印件,PETG(首选)/PLA,核心 60 x 88 x 38 mm; 含二级底座 65 x 93 x 41 mm,1,"0.4mm 喷嘴 / 0.2 层高 / 5 壁 / 6 顶底 / 20-30% 填充, 免支撑; 石膏腔与通道不得留封死的支撑料"
mesh_clamp,打印件,PETG/PLA,38 x 26 x 3 mm,1,"网面朝下平放打印, 贴网面必须平整"
fill_plug,打印件,PETG/PLA,Ø11 x 5.5 mm,1,注水口塞
entrance_reducer,打印件,PETG/PLA,约 22 x 11 x 15 mm,1,"可选: 小型蚁用, 把 8x12 门洞缩到 Ø3, 压入巢区侧门洞"
acrylic_activity_cover,外购/加工,亚克力 实测厚度,54 x 40.5 mm + 拉手 (外角 R8),1,嵌入顶部围栏开口; 含 20x10 通风窗 + 4×Ø3.4 磁吸孔 + 4×Ø3.4 压框孔 + Ø8 注水孔; 必须实测厚度
acrylic_nest_cover,外购/加工,亚克力 实测厚度,54 x 40.5 mm + 拉手 (外角 R8),1,嵌入顶部围栏开口; 4×Ø3.4 磁吸孔; 全封闭避光
mesh_304_100,外购,304 编织网 100 目,28 x 18 mm (约 0.1mm 丝 / 0.18mm 孔),1,"剪裁, 不要冲孔; 到货检查散丝与边缘"
magnet_NdFeB,外购,钕磁铁 Ø6 x 2 mm,Ø6 x 2 mm,8,"只装在打印巢体磁柱孔内, 需实测直径/厚度"
screw_M3x6_steel,外购,磁性钢 M3x6 + M3 螺母,M3 x 6 mm,8,"亚克力磁吸孔用; 装盖前先确认螺钉/螺母确实被磁铁吸住, 不可用 304 不锈钢替代"
screw_M3x8,外购,M3 x 8 (自攻入亚克力),M3 x 8 mm,4,"压网框用; 轻载, 拧入亚克力 Ø2.5 预钻孔"
gypsum,外购,无添加陶瓷模具石膏,约 1 kg,1,无香精/抗菌/防霉/防水添加剂; 参考单件用量约 5 mL 浆料
