件名,来源,材料,规格,数量,备注
nest_body,打印件,PLA,60 x 88 x 38 mm,1,"0.4mm 喷嘴 / 0.2 层高 / 5 壁 / 6 顶底 / 20-30% 填充, 免支撑"
mesh_clamp,打印件,PLA,38 x 26 x 3 mm,1,网面朝下平放打印
fill_plug,打印件,PLA,Ø11 x 5 mm,1,注水口塞
acrylic_activity_cover,外购/加工,亚克力 3mm(实测),60 x 39 mm + 拉手,1,含 20x10 通风窗 + 8×Ø3.4 孔 + Ø8 注水孔
acrylic_nest_cover,外购/加工,亚克力 3mm(实测),60 x 42 mm,1,4×Ø3.4 磁吸孔
mesh_304_100,外购,304 编织网 100 目,28 x 18 mm/(约 0.1mm 丝 / 0.18mm 孔),1,"剪裁, 不要冲孔"
magnet,外购,钕磁铁 Ø6 x 2 mm,Ø6 x 2 mm,8,"装入巢体磁铁孔, 需确认极性/吸力"
screw_M3x6,外购,磁性钢 M3x6,M3 x 6 mm,8,"亚克力盖用, 需实测能否被磁铁吸住; 配 M3 螺母"
screw_M3x10,外购,M3x10 + 螺母,M3 x 10 mm,4,压网框
gypsum,外购,无香精陶瓷模具石膏,约 1 kg,1,无抗菌/防霉/防水/香精添加剂; 参考用量 ~5.4mL/件
